出表日期,報告年度,公司代號,公司名稱,資訊外洩事件數量,與個資相關的資訊外洩事件占比,因資訊外洩事件而受影響的顧客數(人),date
1150513,113,1101,台泥,0,0.00%,0,2026-05-15
1150513,113,1102,亞泥,0,0.00%,0,2026-05-15
1150513,113,1103,嘉泥,0,0.00%,0,2026-05-15
1150513,113,1104,環泥,N/A,N/A,N/A,2026-05-15
1150513,113,1109,信大,0,0.00%,0,2026-05-15
1150513,113,1110,東泥,0,0.00%,0,2026-05-15
1150513,113,1201,味全,0,0.00%,0,2026-05-15
1150513,113,1203,味王,0,0.00%,0,2026-05-15
1150513,113,1210,大成,0,0.00%,0,2026-05-15
1150513,113,1213,大飲,N/A,N/A,N/A,2026-05-15
1150513,113,1215,卜蜂,N/A,N/A,N/A,2026-05-15
1150513,113,1216,統一,0,0.00%,0,2026-05-15
1150513,113,1218,泰山,0,0.00%,0,2026-05-15
1150513,113,1219,福壽,0,0.00%,0,2026-05-15
1150513,113,1220,台榮,0,0.00%,N/A,2026-05-15
1150513,113,1227,佳格,N/A,N/A,N/A,2026-05-15
1150513,113,1229,聯華,1,0.00%,0,2026-05-15
1150513,113,1231,聯華食,0,0.00%,N/A,2026-05-15
1150513,113,1233,天仁,0,0.00%,0,2026-05-15
1150513,113,1234,黑松,0,0.00%,0,2026-05-15
1150513,113,1236,宏亞,0,0.00%,0,2026-05-15
1150513,113,1303,南亞,N/A,N/A,N/A,2026-05-15
1150513,113,1304,台聚,0,0.00%,0,2026-05-15
1150513,113,1305,華夏,0,0.00%,0,2026-05-15
1150513,113,1307,三芳,0,0.00%,0,2026-05-15
1150513,113,1308,亞聚,0,0.00%,0,2026-05-15
1150513,113,1309,台達化,0,0.00%,0,2026-05-15
1150513,113,1310,台苯,0,0.00%,0,2026-05-15
1150513,113,1312,國喬,N/A,N/A,N/A,2026-05-15
1150513,113,1314,中石化,0,0.00%,0,2026-05-15
1150513,113,1315,達新,N/A,N/A,N/A,2026-05-15
1150513,113,1316,上曜,N/A,0.00%,N/A,2026-05-15
1150513,113,1319,東陽,N/A,N/A,N/A,2026-05-15
1150513,113,1321,大洋,N/A,N/A,N/A,2026-05-15
1150513,113,1325,恆大,0,0.00%,0,2026-05-15
1150513,113,1326,台化,N/A,N/A,N/A,2026-05-15
1150513,113,1338,廣華-KY,0,0.00%,0,2026-05-15
1150513,113,1339,昭輝,0,0.00%,0,2026-05-15
1150513,113,1340,勝悅-KY,0,0.00%,N/A,2026-05-15
1150513,113,1341,富林-KY,0,0.00%,0,2026-05-15
1150513,113,1342,八貫,0,N/A,N/A,2026-05-15
1150513,113,1409,新纖,0,0.00%,N/A,2026-05-15
1150513,113,1413,宏洲,0,N/A,0,2026-05-15
1150513,113,1414,東和,N/A,N/A,N/A,2026-05-15
1150513,113,1417,嘉裕,0,0.00%,0,2026-05-15
1150513,113,1418,東華,N/A,N/A,N/A,2026-05-15
1150513,113,1419,新紡,N/A,N/A,N/A,2026-05-15
1150513,113,1423,利華,N/A,N/A,N/A,2026-05-15
1150513,113,1432,大魯閣,N/A,N/A,N/A,2026-05-15
1150513,113,1434,福懋,0,0.00%,0,2026-05-15
1150513,113,1435,中福,0,0.00%,0,2026-05-15
1150513,113,1436,華友聯,N/A,N/A,N/A,2026-05-15
1150513,113,1439,雋揚,0,0.00%,0,2026-05-15
1150513,113,1440,南紡,N/A,N/A,N/A,2026-05-15
1150513,113,1441,大東,0,0.00%,0,2026-05-15
1150513,113,1442,名軒,N/A,N/A,N/A,2026-05-15
1150513,113,1443,立益物流,N/A,N/A,N/A,2026-05-15
1150513,113,1445,大宇,0,0.00%,0,2026-05-15
1150513,113,1449,佳和,N/A,N/A,N/A,2026-05-15
1150513,113,1451,年興,N/A,N/A,N/A,2026-05-15
1150513,113,1454,台富,0,0.00%,0,2026-05-15
1150513,113,1455,集盛,0,0.00%,0,2026-05-15
1150513,113,1456,怡華,0,0.00%,0,2026-05-15
1150513,113,1457,宜進,0,N/A,0,2026-05-15
1150513,113,1459,聯發,N/A,N/A,N/A,2026-05-15
1150513,113,1460,宏遠,0,0.00%,0,2026-05-15
1150513,113,1465,偉全,N/A,N/A,N/A,2026-05-15
1150513,113,1466,聚隆,0,0.00%,0,2026-05-15
1150513,113,1468,昶和,N/A,N/A,N/A,2026-05-15
1150513,113,1470,大統新創,0,0.00%,0,2026-05-15
1150513,113,1473,台南,N/A,N/A,N/A,2026-05-15
1150513,113,1474,弘裕,N/A,N/A,N/A,2026-05-15
1150513,113,1475,業旺,0,0.00%,0,2026-05-15
1150513,113,1504,東元,N/A,N/A,N/A,2026-05-15
1150513,113,1513,中興電,N/A,N/A,N/A,2026-05-15
1150513,113,1514,亞力,0,0.00%,0,2026-05-15
1150513,113,1515,力山,N/A,N/A,N/A,2026-05-15
1150513,113,1516,川飛,N/A,N/A,N/A,2026-05-15
1150513,113,1519,華城,0,0.00%,0,2026-05-15
1150513,113,1521,大億,0,0.00%,0,2026-05-15
1150513,113,1524,耿鼎,N/A,N/A,N/A,2026-05-15
1150513,113,1526,日馳,N/A,N/A,N/A,2026-05-15
1150513,113,1527,鑽全,N/A,N/A,N/A,2026-05-15
1150513,113,1530,亞崴,N/A,N/A,N/A,2026-05-15
1150513,113,1531,高林股,N/A,N/A,N/A,2026-05-15
1150513,113,1532,勤美,N/A,N/A,N/A,2026-05-15
1150513,113,1533,車王電,0,0.00%,0,2026-05-15
1150513,113,1535,中宇,0,0.00%,0,2026-05-15
1150513,113,1536,和大,0,0.00%,0,2026-05-15
1150513,113,1537,廣隆,0,0.00%,0,2026-05-15
1150513,113,1538,正峰,N/A,N/A,N/A,2026-05-15
1150513,113,1540,喬福,0,0.00%,0,2026-05-15
1150513,113,1558,伸興,0,0.00%,0,2026-05-15
1150513,113,1563,巧新,0,0.00%,0,2026-05-15
1150513,113,1568,倉佑,N/A,N/A,N/A,2026-05-15
1150513,113,1582,信錦,N/A,N/A,N/A,2026-05-15
1150513,113,1583,程泰,N/A,N/A,N/A,2026-05-15
1150513,113,1587,吉茂,0,0.00%,0,2026-05-15
1150513,113,1589,永冠-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1597,直得,N/A,N/A,N/A,2026-05-15
1150513,113,1598,岱宇,N/A,N/A,N/A,2026-05-15
1150513,113,1603,華電,N/A,N/A,N/A,2026-05-15
1150513,113,1604,聲寶,N/A,N/A,N/A,2026-05-15
1150513,113,1605,華新,0,0.00%,0,2026-05-15
1150513,113,1608,華榮,N/A,N/A,N/A,2026-05-15
1150513,113,1609,大亞,0,0.00%,0,2026-05-15
1150513,113,1611,中電,N/A,N/A,N/A,2026-05-15
1150513,113,1612,宏泰,0,0.00%,0,2026-05-15
1150513,113,1614,三洋電,0,0.00%,0,2026-05-15
1150513,113,1616,億泰,N/A,N/A,N/A,2026-05-15
1150513,113,1617,榮星,0,0.00%,0,2026-05-15
1150513,113,1618,合機,0,0.00%,0,2026-05-15
1150513,113,1626,艾美特-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1702,南僑,N/A,N/A,N/A,2026-05-15
1150513,113,1707,葡萄王,N/A,N/A,N/A,2026-05-15
1150513,113,1708,東鹼,0,0.00%,0,2026-05-15
1150513,113,1709,和益,0,0.00%,0,2026-05-15
1150513,113,1710,東聯,0,0.00%,0,2026-05-15
1150513,113,1711,永光,N/A,N/A,N/A,2026-05-15
1150513,113,1712,興農,0,0.00%,0,2026-05-15
1150513,113,1713,國化,0,0.00%,0,2026-05-15
1150513,113,1714,和桐,0,0.00%,0,2026-05-15
1150513,113,1717,長興,0,0.00%,0,2026-05-15
1150513,113,1718,中纖,N/A,N/A,N/A,2026-05-15
1150513,113,1720,生達,N/A,N/A,N/A,2026-05-15
1150513,113,1721,三晃,0,0.00%,0,2026-05-15
1150513,113,1725,元禎,N/A,N/A,N/A,2026-05-15
1150513,113,1726,永記,N/A,N/A,N/A,2026-05-15
1150513,113,1727,中華化,N/A,N/A,N/A,2026-05-15
1150513,113,1730,花仙子,N/A,N/A,N/A,2026-05-15
1150513,113,1731,美吾華,0,0.00%,0,2026-05-15
1150513,113,1732,毛寶,0,0.00%,0,2026-05-15
1150513,113,1735,日勝化,0,0.00%,0,2026-05-15
1150513,113,1736,喬山,N/A,N/A,N/A,2026-05-15
1150513,113,1737,臺鹽,0,0.00%,0,2026-05-15
1150513,113,1752,南光,N/A,N/A,N/A,2026-05-15
1150513,113,1760,寶齡富錦,N/A,N/A,N/A,2026-05-15
1150513,113,1762,中化生,0,0.00%,0,2026-05-15
1150513,113,1776,展宇,N/A,N/A,N/A,2026-05-15
1150513,113,1783,和康生,0,0.00%,0,2026-05-15
1150513,113,1786,科妍,0,0.00%,0,2026-05-15
1150513,113,1789,神隆,N/A,N/A,N/A,2026-05-15
1150513,113,1795,美時,N/A,N/A,N/A,2026-05-15
1150513,113,1802,台玻,N/A,N/A,N/A,2026-05-15
1150513,113,1806,冠軍,N/A,N/A,N/A,2026-05-15
1150513,113,1808,潤隆,0,0.00%,0,2026-05-15
1150513,113,1809,中釉,0,0.00%,0,2026-05-15
1150513,113,1810,和成,N/A,0.00%,0,2026-05-15
1150513,113,1903,士紙,N/A,N/A,N/A,2026-05-15
1150513,113,1904,正隆,0,0.00%,0,2026-05-15
1150513,113,1905,華紙,0,0.00%,0,2026-05-15
1150513,113,1907,永豐餘,0,0.00%,0,2026-05-15
1150513,113,2002,中鋼,0,0.00%,0,2026-05-15
1150513,113,2006,東和鋼鐵,N/A,N/A,N/A,2026-05-15
1150513,113,2009,第一銅,N/A,N/A,N/A,2026-05-15
1150513,113,2010,春源,N/A,N/A,N/A,2026-05-15
1150513,113,2012,春雨,N/A,N/A,N/A,2026-05-15
1150513,113,2013,中鋼構,N/A,N/A,N/A,2026-05-15
1150513,113,2014,中鴻,N/A,N/A,N/A,2026-05-15
1150513,113,2015,豐興,N/A,N/A,N/A,2026-05-15
1150513,113,2017,官田鋼,N/A,N/A,N/A,2026-05-15
1150513,113,2020,美亞,0,0.00%,0,2026-05-15
1150513,113,2023,燁輝,0,0.00%,0,2026-05-15
1150513,113,2025,千興,0,0.00%,0,2026-05-15
1150513,113,2027,大成鋼,N/A,N/A,N/A,2026-05-15
1150513,113,2029,盛餘,N/A,N/A,N/A,2026-05-15
1150513,113,2030,彰源,0,0.00%,0,2026-05-15
1150513,113,2031,新光鋼,0,0.00%,0,2026-05-15
1150513,113,2034,允強,0,0.00%,0,2026-05-15
1150513,113,2069,運錩,N/A,N/A,N/A,2026-05-15
1150513,113,2101,南港,0,0.00%,0,2026-05-15
1150513,113,2103,台橡,0,0.00%,0,2026-05-15
1150513,113,2104,國際中橡,0,0.00%,0,2026-05-15
1150513,113,2105,正新,N/A,N/A,N/A,2026-05-15
1150513,113,2107,厚生,N/A,N/A,N/A,2026-05-15
1150513,113,2108,南帝,N/A,N/A,N/A,2026-05-15
1150513,113,2114,鑫永銓,N/A,N/A,N/A,2026-05-15
1150513,113,2115,六暉-KY,0,0.00%,0,2026-05-15
1150513,113,2201,裕隆,N/A,N/A,N/A,2026-05-15
1150513,113,2206,三陽工業,0,0.00%,0,2026-05-15
1150513,113,2207,和泰車,0,0.00%,0,2026-05-15
1150513,113,2208,台船,N/A,N/A,N/A,2026-05-15
1150513,113,2211,長榮鋼,N/A,N/A,N/A,2026-05-15
1150513,113,2227,裕日車,N/A,N/A,N/A,2026-05-15
1150513,113,2228,劍麟,N/A,N/A,N/A,2026-05-15
1150513,113,2231,為升,0,0.00%,0,2026-05-15
1150513,113,2233,宇隆,N/A,N/A,N/A,2026-05-15
1150513,113,2236,百達-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2241,艾姆勒,0,0.00%,0,2026-05-15
1150513,113,2243,宏旭-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2247,汎德永業,0,0.00%,0,2026-05-15
1150513,113,2254,巨鎧精密-創,N/A,N/A,N/A,2026-05-15
1150513,113,2258,鴻華先進-創,N/A,N/A,N/A,2026-05-15
1150513,113,2301,光寶科,N/A,N/A,N/A,2026-05-15
1150513,113,2302,麗正,N/A,N/A,N/A,2026-05-15
1150513,113,2303,聯電,0,0.00%,0,2026-05-15
1150513,113,2305,全友,N/A,N/A,N/A,2026-05-15
1150513,113,2308,台達電,0,0.00%,0,2026-05-15
1150513,113,2312,金寶,0,0.00%,0,2026-05-15
1150513,113,2313,華通,0,0.00%,0,2026-05-15
1150513,113,2314,台揚,0,0.00%,0,2026-05-15
1150513,113,2316,楠梓電,0,0.00%,0,2026-05-15
1150513,113,2317,鴻海,N/A,N/A,N/A,2026-05-15
1150513,113,2321,東訊,0,0.00%,N/A,2026-05-15
1150513,113,2324,仁寶,0,0.00%,0,2026-05-15
1150513,113,2327,國巨,N/A,N/A,N/A,2026-05-15
1150513,113,2328,廣宇,0,0.00%,0,2026-05-15
1150513,113,2329,華泰,0,0.00%,0,2026-05-15
1150513,113,2331,精英,0,0.00%,0,2026-05-15
1150513,113,2332,友訊,1,100.00%,703,2026-05-15
1150513,113,2338,光罩,0,N/A,N/A,2026-05-15
1150513,113,2340,台亞,0,0.00%,0,2026-05-15
1150513,113,2342,茂矽,0,0.00%,0,2026-05-15
1150513,113,2344,華邦電,0,0.00%,0,2026-05-15
1150513,113,2345,智邦,N/A,N/A,N/A,2026-05-15
1150513,113,2347,聯強,0,0.00%,0,2026-05-15
1150513,113,2348,海悅,0,0.00%,0,2026-05-15
1150513,113,2349,錸德,0,N/A,N/A,2026-05-15
1150513,113,2351,順德,N/A,N/A,N/A,2026-05-15
1150513,113,2352,佳世達,N/A,N/A,N/A,2026-05-15
1150513,113,2353,宏碁,0,0.00%,0,2026-05-15
1150513,113,2354,鴻準,N/A,N/A,N/A,2026-05-15
1150513,113,2355,敬鵬,0,0.00%,0,2026-05-15
1150513,113,2360,致茂,N/A,N/A,N/A,2026-05-15
1150513,113,2362,藍天,N/A,N/A,N/A,2026-05-15
1150513,113,2363,矽統,N/A,N/A,N/A,2026-05-15
1150513,113,2364,倫飛,N/A,N/A,N/A,2026-05-15
1150513,113,2365,昆盈,0,0.00%,0,2026-05-15
1150513,113,2367,燿華,N/A,N/A,N/A,2026-05-15
1150513,113,2369,菱生,0,0.00%,0,2026-05-15
1150513,113,2371,大同,0,0.00%,0,2026-05-15
1150513,113,2373,震旦行,N/A,N/A,N/A,2026-05-15
1150513,113,2374,佳能,0,0.00%,0,2026-05-15
1150513,113,2375,凱美,0,0.00%,0,2026-05-15
1150513,113,2376,技嘉,N/A,N/A,N/A,2026-05-15
1150513,113,2377,微星,0,0.00%,N/A,2026-05-15
1150513,113,2379,瑞昱,0,0.00%,0,2026-05-15
1150513,113,2380,虹光,0,0.00%,0,2026-05-15
1150513,113,2383,台光電,0,0.00%,0,2026-05-15
1150513,113,2385,群光,1,0.00%,0,2026-05-15
1150513,113,2387,精元,N/A,N/A,N/A,2026-05-15
1150513,113,2388,威盛,0,0.00%,0,2026-05-15
1150513,113,2390,云辰,0,0.00%,0,2026-05-15
1150513,113,2392,正崴,N/A,N/A,N/A,2026-05-15
1150513,113,2393,億光,0,0.00%,0,2026-05-15
1150513,113,2395,研華,0,0.00%,0,2026-05-15
1150513,113,2397,友通,N/A,N/A,N/A,2026-05-15
1150513,113,2399,映泰,N/A,N/A,N/A,2026-05-15
1150513,113,2401,凌陽,0,0.00%,0,2026-05-15
1150513,113,2406,國碩,0,0.00%,0,2026-05-15
1150513,113,2408,南亞科,0,0.00%,0,2026-05-15
1150513,113,2409,友達,0,0.00%,0,2026-05-15
1150513,113,2412,中華電,N/A,N/A,N/A,2026-05-15
1150513,113,2414,精技,N/A,N/A,N/A,2026-05-15
1150513,113,2415,錩新,0,0.00%,0,2026-05-15
1150513,113,2417,圓剛,N/A,0.00%,0,2026-05-15
1150513,113,2419,仲琦,N/A,N/A,N/A,2026-05-15
1150513,113,2421,建準,0,0.00%,0,2026-05-15
1150513,113,2423,固緯,0,0.00%,0,2026-05-15
1150513,113,2424,隴華,0,0.00%,0,2026-05-15
1150513,113,2425,承啟,0,0.00%,0,2026-05-15
1150513,113,2426,鼎元,0,0.00%,0,2026-05-15
1150513,113,2428,興勤,N/A,N/A,N/A,2026-05-15
1150513,113,2429,銘旺科,N/A,N/A,N/A,2026-05-15
1150513,113,2431,聯昌,N/A,N/A,N/A,2026-05-15
1150513,113,2432,倚天酷碁-創,0,0.00%,0,2026-05-15
1150513,113,2433,互盛電,0,0.00%,0,2026-05-15
1150513,113,2434,統懋,N/A,N/A,N/A,2026-05-15
1150513,113,2436,偉詮電,0,0.00%,0,2026-05-15
1150513,113,2438,翔耀,N/A,N/A,N/A,2026-05-15
1150513,113,2439,美律,0,N/A,N/A,2026-05-15
1150513,113,2440,太空梭,N/A,N/A,N/A,2026-05-15
1150513,113,2441,超豐,0,0.00%,0,2026-05-15
1150513,113,2450,神腦,0,0.00%,0,2026-05-15
1150513,113,2451,創見,0,N/A,N/A,2026-05-15
1150513,113,2453,凌群,N/A,N/A,N/A,2026-05-15
1150513,113,2454,聯發科,0,0.00%,0,2026-05-15
1150513,113,2455,全新,0,0.00%,0,2026-05-15
1150513,113,2457,飛宏,0,0.00%,0,2026-05-15
1150513,113,2462,良得電,N/A,N/A,N/A,2026-05-15
1150513,113,2466,冠西電,0,0.00%,0,2026-05-15
1150513,113,2468,華經,1,0.00%,0,2026-05-15
1150513,113,2472,立隆電,N/A,N/A,N/A,2026-05-15
1150513,113,2474,可成,0,0.00%,0,2026-05-15
1150513,113,2476,鉅祥,N/A,N/A,N/A,2026-05-15
1150513,113,2477,美隆電,0,0.00%,0,2026-05-15
1150513,113,2478,大毅,N/A,N/A,N/A,2026-05-15
1150513,113,2480,敦陽科,N/A,N/A,N/A,2026-05-15
1150513,113,2482,連宇,N/A,N/A,N/A,2026-05-15
1150513,113,2485,兆赫,N/A,N/A,N/A,2026-05-15
1150513,113,2486,一詮,0,0.00%,0,2026-05-15
1150513,113,2489,瑞軒,N/A,N/A,N/A,2026-05-15
1150513,113,2491,吉祥全,0,0.00%,0,2026-05-15
1150513,113,2492,華新科,N/A,N/A,N/A,2026-05-15
1150513,113,2493,揚博,0,0.00%,0,2026-05-15
1150513,113,2495,普安,0,0.00%,0,2026-05-15
1150513,113,2497,怡利電,0,0.00%,0,2026-05-15
1150513,113,2498,宏達電,0,0.00%,0,2026-05-15
1150513,113,2501,國建,N/A,N/A,N/A,2026-05-15
1150513,113,2505,國揚,0,0.00%,0,2026-05-15
1150513,113,2506,太設,0,0.00%,0,2026-05-15
1150513,113,2509,全坤建,N/A,N/A,N/A,2026-05-15
1150513,113,2511,太子,N/A,N/A,N/A,2026-05-15
1150513,113,2514,龍邦,N/A,N/A,N/A,2026-05-15
1150513,113,2515,中工,0,0.00%,0,2026-05-15
1150513,113,2524,京城,N/A,N/A,N/A,2026-05-15
1150513,113,2527,宏璟,0,N/A,N/A,2026-05-15
1150513,113,2528,皇普,N/A,N/A,N/A,2026-05-15
1150513,113,2530,華建,N/A,N/A,N/A,2026-05-15
1150513,113,2534,宏盛,N/A,N/A,N/A,2026-05-15
1150513,113,2535,達欣工,0,0.00%,0,2026-05-15
1150513,113,2536,宏普,0,0.00%,0,2026-05-15
1150513,113,2537,聯上發,N/A,N/A,N/A,2026-05-15
1150513,113,2539,櫻花建,0,0.00%,0,2026-05-15
1150513,113,2542,興富發,0,0.00%,0,2026-05-15
1150513,113,2543,皇昌,N/A,N/A,N/A,2026-05-15
1150513,113,2546,根基,N/A,N/A,N/A,2026-05-15
1150513,113,2547,日勝生,N/A,N/A,N/A,2026-05-15
1150513,113,2548,華固,N/A,N/A,N/A,2026-05-15
1150513,113,2597,潤弘,N/A,N/A,N/A,2026-05-15
1150513,113,2601,益航,N/A,N/A,N/A,2026-05-15
1150513,113,2603,長榮,0,0.00%,0,2026-05-15
1150513,113,2607,榮運,N/A,N/A,N/A,2026-05-15
1150513,113,2608,嘉里大榮,0,0.00%,0,2026-05-15
1150513,113,2609,陽明,N/A,N/A,N/A,2026-05-15
1150513,113,2610,華航,0,0.00%,0,2026-05-15
1150513,113,2612,中航,N/A,N/A,N/A,2026-05-15
1150513,113,2614,東森,0,0.00%,0,2026-05-15
1150513,113,2615,萬海,0,0.00%,0,2026-05-15
1150513,113,2616,山隆,0,0.00%,0,2026-05-15
1150513,113,2617,台航,N/A,N/A,N/A,2026-05-15
1150513,113,2618,長榮航,N/A,N/A,N/A,2026-05-15
1150513,113,2630,亞航,N/A,N/A,N/A,2026-05-15
1150513,113,2634,漢翔,N/A,N/A,N/A,2026-05-15
1150513,113,2636,台驊控股,0,0.00%,0,2026-05-15
1150513,113,2637,慧洋-KY,0,0.00%,0,2026-05-15
1150513,113,2642,宅配通,N/A,N/A,N/A,2026-05-15
1150513,113,2645,長榮航太,0,0.00%,0,2026-05-15
1150513,113,2646,星宇航空,N/A,N/A,N/A,2026-05-15
1150513,113,2701,萬企,0,0.00%,0,2026-05-15
1150513,113,2702,華園,N/A,N/A,N/A,2026-05-15
1150513,113,2704,國賓,N/A,N/A,N/A,2026-05-15
1150513,113,2705,六福,0,0.00%,0,2026-05-15
1150513,113,2706,第一店,0,0.00%,0,2026-05-15
1150513,113,2707,晶華,0,0.00%,0,2026-05-15
1150513,113,2712,遠雄來,0,0.00%,0,2026-05-15
1150513,113,2722,夏都,0,0.00%,0,2026-05-15
1150513,113,2723,美食-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2727,王品,N/A,N/A,N/A,2026-05-15
1150513,113,2739,寒舍,0,0.00%,0,2026-05-15
1150513,113,2753,八方雲集,0,0.00%,0,2026-05-15
1150513,113,2801,彰銀,0,0.00%,0,2026-05-15
1150513,113,2812,台中銀,1,100.00%,138392,2026-05-15
1150513,113,2816,旺旺保,0,0.00%,0,2026-05-15
1150513,113,2820,華票,0,0.00%,0,2026-05-15
1150513,113,2832,台產,0,0.00%,0,2026-05-15
1150513,113,2834,臺企銀,0,0.00%,0,2026-05-15
1150513,113,2836,高雄銀,0,0.00%,0,2026-05-15
1150513,113,2838,聯邦銀,0,0.00%,0,2026-05-15
1150513,113,2845,遠東銀,0,0.00%,0,2026-05-15
1150513,113,2849,安泰銀,2,100.00%,2,2026-05-15
1150513,113,2850,新產,0,0.00%,0,2026-05-15
1150513,113,2851,中再保,0,0.00%,0,2026-05-15
1150513,113,2852,第一保,0,0.00%,0,2026-05-15
1150513,113,2855,統一證,0,0.00%,0,2026-05-15
1150513,113,2867,三商壽,0,0.00%,0,2026-05-15
1150513,113,2880,華南金,1,100.00%,1,2026-05-15
1150513,113,2881,富邦金,0,0.00%,0,2026-05-15
1150513,113,2882,國泰金,18,100.00%,199,2026-05-15
1150513,113,2883,凱基金,0,0.00%,0,2026-05-15
1150513,113,2884,玉山金,0,0.00%,0,2026-05-15
1150513,113,2885,元大金,0,0.00%,0,2026-05-15
1150513,113,2886,兆豐金,0,0.00%,0,2026-05-15
1150513,113,2887,台新金,3,66.67%,1447,2026-05-15
1150513,113,2889,國票金,0,0.00%,0,2026-05-15
1150513,113,2890,永豐金,1,2.22%,1,2026-05-15
1150513,113,2891,中信金,9,100.00%,17,2026-05-15
1150513,113,2892,第一金,1,100.00%,592,2026-05-15
1150513,113,2897,王道銀行,0,0.00%,0,2026-05-15
1150513,113,2901,欣欣,0,0.00%,0,2026-05-15
1150513,113,2903,遠百,0,0.00%,0,2026-05-15
1150513,113,2904,匯僑,N/A,N/A,N/A,2026-05-15
1150513,113,2906,高林,0,0.00%,0,2026-05-15
1150513,113,2908,特力,0,0.00%,0,2026-05-15
1150513,113,2911,麗嬰房,N/A,N/A,N/A,2026-05-15
1150513,113,2915,潤泰全,N/A,N/A,N/A,2026-05-15
1150513,113,2929,淘帝-KY,N/A,N/A,N/A,2026-05-15
